Date,Open,High,Low,Close,Adj Close,Volume
2022-08-19,2.0,2.0,2.0,2.0,2.0,0
2022-08-22,2.0,2.0,2.0,2.0,2.0,0
2022-08-23,2.0,2.0,2.0,2.0,2.0,0
2022-08-24,2.0,2.0,2.0,2.0,2.0,0
2022-08-25,2.0,2.0,2.0,2.0,2.0,0
2022-08-26,2.0,2.0,2.0,2.0,2.0,0
2022-08-29,2.0,2.0,2.0,2.0,2.0,0
2022-08-30,2.0,2.0,2.0,2.0,2.0,0
2022-08-31,2.0,2.0,2.0,2.0,2.0,0
2022-09-01,2.0,2.0,2.0,2.0,2.0,0
2022-09-02,2.0,2.0,2.0,2.0,2.0,0
2022-09-06,2.0,2.0,2.0,2.0,2.0,0
2022-09-07,2.0,2.0,2.0,2.0,2.0,0
2022-09-08,2.0,2.0,2.0,2.0,2.0,0
2022-09-09,2.0,2.0,2.0,2.0,2.0,0
2022-09-12,2.0,2.0,2.0,2.0,2.0,0
2022-09-13,2.0,2.0,2.0,2.0,2.0,0
2022-09-14,2.0,2.0,2.0,2.0,2.0,0
2022-09-15,2.0,2.0,2.0,2.0,2.0,0
2022-09-16,2.0,2.0,2.0,2.0,2.0,0
2022-09-19,2.0,2.0,2.0,2.0,2.0,0
2022-09-20,2.0,2.0,2.0,2.0,2.0,0
2022-09-21,2.0,2.0,2.0,2.0,2.0,0
2022-09-22,2.0,2.0,2.0,2.0,2.0,0
2022-09-23,2.0,2.0,2.0,2.0,2.0,0
2022-09-26,2.0,2.0,2.0,2.0,2.0,0
2022-09-27,2.0,2.0,2.0,2.0,2.0,0
2022-09-28,2.0,2.0,2.0,2.0,2.0,0
2022-09-29,2.0,2.0,2.0,2.0,2.0,0
2022-09-30,2.0,2.0,2.0,2.0,2.0,0
2022-10-03,2.0,2.0,2.0,2.0,2.0,0
2022-10-04,2.0,2.0,2.0,2.0,2.0,0
2022-10-05,2.0,2.0,2.0,2.0,2.0,0
2022-10-06,2.0,2.0,2.0,2.0,2.0,0
2022-10-07,2.0,2.0,2.0,2.0,2.0,0
2022-10-10,2.0,2.0,2.0,2.0,2.0,0
2022-10-11,2.0,2.0,2.0,2.0,2.0,0
2022-10-12,2.0,2.0,2.0,2.0,2.0,0
2022-10-13,2.0,2.0,2.0,2.0,2.0,0
2022-10-14,2.0,2.0,2.0,2.0,2.0,0
2022-10-17,2.0,2.0,2.0,2.0,2.0,0
2022-10-18,2.0,2.0,2.0,2.0,2.0,0
2022-10-19,2.0,2.0,2.0,2.0,2.0,0
2022-10-20,2.0,2.0,2.0,2.0,2.0,0
2022-10-21,2.0,2.0,2.0,2.0,2.0,0
2022-10-24,2.0,2.0,2.0,2.0,2.0,0
2022-10-25,2.0,2.0,2.0,2.0,2.0,0
2022-10-26,2.0,2.0,2.0,2.0,2.0,0
2022-10-27,2.0,2.0,2.0,2.0,2.0,0
2022-10-28,2.0,2.0,2.0,2.0,2.0,0
2022-10-31,2.0,2.0,2.0,2.0,2.0,0
2022-11-01,2.0,2.0,2.0,2.0,2.0,0
2022-11-02,2.0,2.0,2.0,2.0,2.0,0
2022-11-03,2.0,2.0,2.0,2.0,2.0,0
2022-11-04,2.0,2.0,2.0,2.0,2.0,0
2022-11-07,2.0,2.0,2.0,2.0,2.0,0
2022-11-08,2.0,2.0,2.0,2.0,2.0,0
2022-11-09,2.0,2.0,2.0,2.0,2.0,0
2022-11-10,2.0,2.0,2.0,2.0,2.0,0
2022-11-11,2.0,2.0,2.0,2.0,2.0,0
2022-11-14,2.0,2.0,2.0,2.0,2.0,0
2022-11-15,2.0,2.0,2.0,2.0,2.0,0
2022-11-16,2.0,2.0,2.0,2.0,2.0,0
2022-11-17,2.0,2.0,2.0,2.0,2.0,0
2022-11-18,2.0,2.0,2.0,2.0,2.0,0
2022-11-21,2.0,2.0,2.0,2.0,2.0,0
2022-11-22,2.0,2.0,2.0,2.0,2.0,0
2022-11-23,2.0,2.0,2.0,2.0,2.0,0
2022-11-25,2.0,2.0,2.0,2.0,2.0,0
2022-11-28,2.0,2.0,2.0,2.0,2.0,0
2022-11-29,2.0,2.0,2.0,2.0,2.0,0
2022-11-30,2.0,2.0,2.0,2.0,2.0,0
2022-12-01,2.0,2.0,2.0,2.0,2.0,0
2022-12-02,2.0,2.0,2.0,2.0,2.0,0
2022-12-05,2.0,2.0,2.0,2.0,2.0,0
2022-12-06,2.0,2.0,2.0,2.0,2.0,0
2022-12-07,2.0,2.0,2.0,2.0,2.0,0
2022-12-08,2.0,2.0,2.0,2.0,2.0,0
2022-12-09,2.0,2.0,2.0,2.0,2.0,0
2022-12-12,2.0,2.0,2.0,2.0,2.0,0
2022-12-13,2.0,2.0,2.0,2.0,2.0,0
2022-12-14,2.0,2.0,2.0,2.0,2.0,0
2022-12-15,2.0,2.0,2.0,2.0,2.0,0
2022-12-16,2.0,2.0,2.0,2.0,2.0,0
2022-12-19,2.0,2.0,2.0,2.0,2.0,0
2022-12-20,2.0,2.0,2.0,2.0,2.0,0
2022-12-21,2.0,2.0,2.0,2.0,2.0,0
2022-12-22,2.0,2.0,2.0,2.0,2.0,0
2022-12-23,2.0,2.0,2.0,2.0,2.0,0
2022-12-27,2.0,2.0,2.0,2.0,2.0,0
2022-12-28,2.0,2.0,2.0,2.0,2.0,0
2022-12-29,2.0,2.0,2.0,2.0,2.0,0
2022-12-30,2.0,2.0,2.0,2.0,2.0,0
2023-01-03,2.0,2.0,2.0,2.0,2.0,0
2023-01-04,2.0,2.0,2.0,2.0,2.0,0
2023-01-05,2.0,2.0,2.0,2.0,2.0,0
2023-01-06,2.0,2.0,2.0,2.0,2.0,0
2023-01-09,2.0,2.0,2.0,2.0,2.0,0
2023-01-10,2.0,2.0,2.0,2.0,2.0,0
2023-01-11,2.0,2.0,2.0,2.0,2.0,0
2023-01-12,2.0,2.0,2.0,2.0,2.0,0
2023-01-13,2.0,2.0,2.0,2.0,2.0,0
2023-01-17,2.0,2.0,2.0,2.0,2.0,0
2023-01-18,2.0,2.0,2.0,2.0,2.0,0
2023-01-19,2.0,2.0,2.0,2.0,2.0,0
2023-01-20,2.0,2.0,2.0,2.0,2.0,0
2023-01-23,2.0,2.0,2.0,2.0,2.0,0
2023-01-24,2.0,2.0,2.0,2.0,2.0,0
2023-01-25,2.0,2.0,2.0,2.0,2.0,0
2023-01-26,2.0,2.0,2.0,2.0,2.0,0
2023-01-27,2.0,2.0,2.0,2.0,2.0,0
2023-01-30,2.0,2.0,2.0,2.0,2.0,0
2023-01-31,2.0,2.0,2.0,2.0,2.0,0
2023-02-01,2.0,2.0,2.0,2.0,2.0,0
2023-02-02,2.0,2.0,2.0,2.0,2.0,0
2023-02-03,2.0,2.0,2.0,2.0,2.0,0
2023-02-06,2.0,2.0,2.0,2.0,2.0,0
2023-02-07,2.0,2.0,2.0,2.0,2.0,0
2023-02-08,2.0,2.0,2.0,2.0,2.0,0
2023-02-09,2.0,2.0,2.0,2.0,2.0,0
2023-02-10,2.0,2.0,2.0,2.0,2.0,0
2023-02-13,2.0,2.0,2.0,2.0,2.0,0
2023-02-14,2.0,2.0,2.0,2.0,2.0,0
2023-02-15,2.0,2.0,2.0,2.0,2.0,0
2023-02-16,2.0,2.0,2.0,2.0,2.0,0
2023-02-17,2.0,2.0,2.0,2.0,2.0,0
2023-02-21,2.0,2.0,2.0,2.0,2.0,0
2023-02-22,2.0,2.0,2.0,2.0,2.0,0
2023-02-23,2.0,2.0,2.0,2.0,2.0,0
2023-02-24,2.0,2.0,2.0,2.0,2.0,0
2023-02-27,2.0,2.0,2.0,2.0,2.0,0
2023-02-28,2.0,2.0,2.0,2.0,2.0,0
2023-03-01,2.0,2.0,2.0,2.0,2.0,0
2023-03-02,2.0,2.0,2.0,2.0,2.0,0
2023-03-03,2.0,2.0,2.0,2.0,2.0,0
2023-03-06,2.0,2.0,2.0,2.0,2.0,0
2023-03-07,2.0,2.0,2.0,2.0,2.0,0
2023-03-08,2.0,2.0,2.0,2.0,2.0,0
2023-03-09,2.0,2.0,2.0,2.0,2.0,0
2023-03-10,2.0,2.0,2.0,2.0,2.0,0
2023-03-13,2.0,2.0,2.0,2.0,2.0,0
2023-03-14,2.0,2.0,2.0,2.0,2.0,0
2023-03-15,2.0,2.0,2.0,2.0,2.0,0
2023-03-16,2.0,2.0,2.0,2.0,2.0,0
2023-03-17,2.0,2.0,2.0,2.0,2.0,0
2023-03-20,2.0,2.0,2.0,2.0,2.0,0
2023-03-21,2.0,2.0,2.0,2.0,2.0,0
2023-03-22,2.0,2.0,2.0,2.0,2.0,0
2023-03-23,2.0,2.0,2.0,2.0,2.0,0
2023-03-24,2.0,2.0,2.0,2.0,2.0,0
2023-03-27,2.0,2.0,2.0,2.0,2.0,0
2023-03-28,2.0,2.0,2.0,2.0,2.0,0
2023-03-29,2.0,2.0,2.0,2.0,2.0,0
2023-03-30,2.0,2.0,2.0,2.0,2.0,0
2023-03-31,2.0,2.0,2.0,2.0,2.0,0
2023-04-03,2.0,2.0,2.0,2.0,2.0,0
2023-04-04,2.0,2.0,2.0,2.0,2.0,0
2023-04-05,2.0,2.0,2.0,2.0,2.0,0
2023-04-06,2.0,2.0,2.0,2.0,2.0,0
2023-04-10,2.0,2.0,2.0,2.0,2.0,0
2023-04-11,2.0,2.0,2.0,2.0,2.0,0
2023-04-12,2.0,2.0,2.0,2.0,2.0,0
2023-04-13,2.0,2.0,2.0,2.0,2.0,0
2023-04-14,2.0,2.0,2.0,2.0,2.0,0
2023-04-17,2.0,2.0,2.0,2.0,2.0,0
2023-04-18,2.0,2.0,2.0,2.0,2.0,0
2023-04-19,2.0,2.0,2.0,2.0,2.0,0
2023-04-20,2.0,2.0,2.0,2.0,2.0,0
2023-04-21,2.0,2.0,2.0,2.0,2.0,0
2023-04-24,2.0,2.0,2.0,2.0,2.0,0
2023-04-25,2.0,2.0,2.0,2.0,2.0,0
2023-04-26,2.0,2.0,2.0,2.0,2.0,0
2023-04-27,2.0,2.0,2.0,2.0,2.0,0
2023-04-28,2.0,2.0,2.0,2.0,2.0,0
2023-05-01,2.0,2.0,2.0,2.0,2.0,0
2023-05-02,2.0,2.0,2.0,2.0,2.0,0
2023-05-03,2.0,2.0,2.0,2.0,2.0,0
2023-05-04,2.0,2.0,2.0,2.0,2.0,0
2023-05-05,2.0,2.0,2.0,2.0,2.0,0
2023-05-08,2.0,2.0,2.0,2.0,2.0,0
2023-05-09,2.0,2.0,2.0,2.0,2.0,0
2023-05-10,2.0,2.0,2.0,2.0,2.0,0
2023-05-11,2.0,2.0,2.0,2.0,2.0,0
2023-05-12,2.0,2.0,2.0,2.0,2.0,0
2023-05-15,2.0,2.0,2.0,2.0,2.0,0
2023-05-16,2.0,2.0,2.0,2.0,2.0,0
2023-05-17,2.0,2.0,2.0,2.0,2.0,0
2023-05-18,2.0,2.0,2.0,2.0,2.0,0
2023-05-19,2.0,2.0,2.0,2.0,2.0,0
2023-05-22,2.0,2.0,2.0,2.0,2.0,0
2023-05-23,2.0,2.0,2.0,2.0,2.0,0
2023-05-24,2.0,2.0,2.0,2.0,2.0,0
2023-05-25,2.0,2.0,2.0,2.0,2.0,0
2023-05-26,2.0,2.0,2.0,2.0,2.0,0
2023-05-30,2.0,2.0,2.0,2.0,2.0,0
2023-05-31,2.0,2.0,2.0,2.0,2.0,0
2023-06-01,2.0,2.0,2.0,2.0,2.0,0
2023-06-02,2.0,2.0,2.0,2.0,2.0,0
2023-06-05,1.8,1.8,1.8,1.8,1.8,2600
2023-06-06,1.8,1.8,1.8,1.8,1.8,0
2023-06-07,1.8,1.8,1.8,1.8,1.8,0
2023-06-08,1.8,1.8,1.8,1.8,1.8,0
2023-06-09,1.8,1.8,1.8,1.8,1.8,0
2023-06-12,1.8,1.8,1.8,1.8,1.8,0
2023-06-13,1.8,1.8,1.8,1.8,1.8,0
2023-06-14,1.8,1.8,1.8,1.8,1.8,0
2023-06-15,1.8,1.8,1.8,1.8,1.8,0
2023-06-16,1.8,1.8,1.8,1.8,1.8,0
2023-06-20,1.8,1.8,1.8,1.8,1.8,0
2023-06-21,1.8,1.8,1.8,1.8,1.8,0
2023-06-22,1.8,1.8,1.8,1.8,1.8,0
2023-06-23,1.8,1.8,1.8,1.8,1.8,0
2023-06-26,1.8,1.8,1.8,1.8,1.8,0
2023-06-27,1.8,1.8,1.8,1.8,1.8,0
2023-06-28,1.8,1.8,1.8,1.8,1.8,0
2023-06-29,1.8,1.8,1.8,1.8,1.8,0
2023-06-30,1.8,1.8,1.8,1.8,1.8,0
2023-07-03,1.65,1.71,1.65,1.7,1.7,6300
2023-07-05,1.75,1.85,1.74,1.8,1.8,16650
2023-07-06,1.8,1.8,1.54,1.6,1.6,17650
2023-07-07,1.6,1.6,1.5,1.5,1.5,15685
2023-07-10,1.7,1.7,1.5,1.6,1.6,15573
2023-07-11,1.6,1.6,1.5,1.6,1.6,11200
2023-07-12,1.6,1.6,1.45,1.45,1.45,12255
2023-07-13,1.45,1.45,1.445,1.45,1.45,12467
